FID,id,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,taxon_name,family,genus,species,taxon_group,caab_code,taxon_start_date,taxon_per_m3,phyto_comments,acknowledgements,first_occurrence,parent_taxon_name,training,comments,geom
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7c,34991302,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Tripos carriensis,Ceratiaceae,Tripos,carriensis,Dinoflagellate,52030009,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7b,34991394,CAGL,-18.5735,146.7462,2018-09-07T10:04:05Z,2018,9,7,10:04:05,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,3333.3,,Rio Tinto Marine,,,,,POINT (146.74617 -18.57348)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7a,34991306,CAGL,-18.5735,146.7462,2018-09-07T10:04:05Z,2018,9,7,10:04:05,Climacodium frauenfeldianum,Hemiaulaceae,Climacodium,frauenfeldianum,Centric diatom,53080005,,3333.3,,Rio Tinto Marine,,,,,POINT (146.74617 -18.57348)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a79,34991305,CAGL,-18.5735,146.7462,2018-09-07T10:04:05Z,2018,9,7,10:04:05,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (146.74617 -18.57348)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a78,34991304,CAGL,-18.5735,146.7462,2018-09-07T10:04:05Z,2018,9,7,10:04:05,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.74617 -18.57348)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a77,34991303,CAGL,-18.5735,146.7462,2018-09-07T10:04:05Z,2018,9,7,10:04:05,Tripos carriensis,Ceratiaceae,Tripos,carriensis,Dinoflagellate,52030009,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.74617 -18.57348)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a76,34991396,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a75,34991397,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a74,34991395,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Tripos trichoceros,Ceratiaceae,Tripos,trichoceros,Dinoflagellate,52030054,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a73,34991398,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a72,34991399,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Leptocylindrus spp.,Leptocylindraceae,Leptocylindrus,spp.,Centric diatom,53115900,,3333.3,,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a71,34991400,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Trichodesmium spp.,Phormidiaceae,Trichodesmium,spp.,Cyanobacteria,70015900,,3333.3,,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a70,34991401,CAGL,-18.7912,147.0128,2018-09-07T11:35:51Z,2018,9,7,11:35:51,Tripos fusus,Ceratiaceae,Tripos,fusus,Dinoflagellate,52030023,,3333.3,,Rio Tinto Marine,,,,,POINT (147.01281 -18.79118)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6f,34991402,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6e,34991403,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6d,34991404,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Chaetoceros (Hyalochaete),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110902,,3333.3,,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6c,34991405,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Rhabdonella spp.,Rhabdonellidae,Rhabdonella,spp.,Ciliate,50570900,,3333.3,,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6b,34991406,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Rhizosolenia spp.,Rhizosoleniaceae,Rhizosolenia,spp.,Centric diatom,53105900,,20000,,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a6a,34991407,CAGL,-19.0085,147.2801,2018-09-07T13:07:37Z,2018,9,7,13:07:37,Tripos candelabrum,Ceratiaceae,Tripos,candelabrum,Dinoflagellate,52030008,,3333.3,,Rio Tinto Marine,,,,,POINT (147.28015 -19.00851)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a69,34991408,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Tripos carriensis,Ceratiaceae,Tripos,carriensis,Dinoflagellate,52030009,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a68,34991409,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a67,34991410,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Coscinodiscus spp. 400-500 µm,Coscinodiscaceae,Coscinodiscus,spp.,Centric diatom,,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a66,34991411,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Nematocysts,,,,Other,99000015,,6666.7,,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a65,34991412,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Pleurosigma spp. < 150 µm,Pleurosigmataceae,Pleurosigma,spp.,Pennate diatom,53256900,,3333.3,,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a64,34991413,CAGL,-19.2254,147.5482,2018-09-07T14:39:23Z,2018,9,7,14:39:23,Unid dinoflagellate 10 - 30 µm,,,,Dinoflagellate,,,3333.3,,Rio Tinto Marine,,,,,POINT (147.54818 -19.22545)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a63,34991414,CAGL,-19.442,147.8169,2018-09-07T16:11:09Z,2018,9,7,16:11:09,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.81693 -19.44199)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a62,34991415,CAGL,-19.442,147.8169,2018-09-07T16:11:09Z,2018,9,7,16:11:09,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.81693 -19.44199)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a61,34991416,CAGL,-19.442,147.8169,2018-09-07T16:11:09Z,2018,9,7,16:11:09,Tripos trichoceros,Ceratiaceae,Tripos,trichoceros,Dinoflagellate,52030054,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (147.81693 -19.44199)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a60,34991417,CAGL,-19.442,147.8169,2018-09-07T16:11:09Z,2018,9,7,16:11:09,Coscinodiscus spp. 300-400 µm,Coscinodiscaceae,Coscinodiscus,spp.,Centric diatom,53035900,9/29/2008,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,8/23/2012,Coscinodiscus spp. > 80 µm,,New size classes added when group started to count NRS phyto,POINT (147.81693 -19.44199)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a5f,34991418,CAGL,-19.442,147.8169,2018-09-07T16:11:09Z,2018,9,7,16:11:09,Navicula cf. 40-60 µm length,Naviculaceae,,,Pennate diatom,53255000,,3333.3,,Rio Tinto Marine,,,,,POINT (147.81693 -19.44199)
